"customer_id","customer_name","customer_segment","order_id","order_date","shipping_city","shipping_state","shipping_region","shipping_country","shipping_postal_code","shipping_date","shipping_mode","order_details_id","product_id","quantity","order_discount","order_profits","order_profit_ratio","order_sales","product_name","product_category","product_subcategory","product_manufacturer"
"91","Bill Shonely","Corporate","CA-2015-100004","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day","1","122","62","0.1","327","0.39","837","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"91","Bill Shonely","Corporate","CA-2015-100004","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-06 00:00:00","Same Day","2","764","18","0.2","565","0.26","2174","Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","Global"
"224","Dennis Kane","Consumer","CA-2015-100006","2015-09-07 00:00:00","New York City","New York","East","United States","10024","2015-09-13 00:00:00","Standard Class","3","161","3","0","110","0.29","378","AT&T EL51110 DECT","Technology","Phones","AT&T"
"62","Arthur Wiediger","Home Office","CA-2015-100032","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","4","122","53","0.1","272","0.38","715","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"62","Arthur Wiediger","Home Office","CA-2015-100032","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","5","1342","23","0.1","96","0.31","311","Recycled Premium Regency Composition Covers","Office Supplies","Binders","Other"
"62","Arthur Wiediger","Home Office","CA-2015-100032","2015-09-07 00:00:00","New York City","New York","East","United States","10025","2015-09-13 00:00:00","Standard Class","6","613","16","0.1","407","0.27","1506","Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red","Office Supplies","Appliances","Eureka"
"311","Greg Matthias","Consumer","CA-2015-100051","2015-09-06 00:00:00","New York City","New York","East","United States","10011","2015-09-12 00:00:00","Standard Class","7","812","79","0.2","318","0.35","909","Holmes Odor Grabber","Office Supplies","Appliances","Holmes"
"246","Ed Braxton","Corporate","CA-2015-100090","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class","8","1648","6","0.2","69","0.35","197","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","Office Supplies","Binders","Wilson Jones"
"246","Ed Braxton","Corporate","CA-2015-100090","2015-07-08 00:00:00","San Francisco","California","West","United States","94122","2015-07-12 00:00:00","Standard Class","9","819","3","0.2","-88","-0.18","502","Hon 2111 Invitation Series Corner Table","Furniture","Tables","Hon"
"388","John Lee","Consumer","CA-2015-100136","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","10","920","130","0.3","1399","0.41","3413","Imation Clip USB flash drive - 8 GB","Technology","Accessories","Imation"
"388","John Lee","Consumer","CA-2015-100136","2015-09-05 00:00:00","New York City","New York","East","United States","10011","2015-09-11 00:00:00","Standard Class","11","1216","94","0.1","64","0.21","305","OIC Binder Clips","Office Supplies","Fasteners","Other"
