order_date,order_id,customer_name,customer_segment,product_name,product_category,product_subcategory,product_manufacturer,shipping_city,shipping_state,shipping_region,shipping_date,shipping_mode,quantity,order_discount,order_profits,order_profit_ratio,order_sales
2015-09-06,CA-2015-100004,Bill Shonely,Corporate,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,New York City,New York,East,2015-09-06,Same Day,62.0,0.1,327.0,0.39,837.0
2015-09-06,CA-2015-100004,Bill Shonely,Corporate,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,Global,New York City,New York,East,2015-09-06,Same Day,18.0,0.2,565.0,0.26,2174.0
2015-09-07,CA-2015-100006,Dennis Kane,Consumer,AT&T EL51110 DECT,Technology,Phones,AT&T,New York City,New York,East,2015-09-13,Standard Class,3.0,0.0,110.0,0.29,378.0
2015-09-07,CA-2015-100032,Arthur Wiediger,Home Office,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,New York City,New York,East,2015-09-13,Standard Class,53.0,0.1,272.0,0.38,715.0
2015-09-07,CA-2015-100032,Arthur Wiediger,Home Office,Recycled Premium Regency Composition Covers,Office Supplies,Binders,Other,New York City,New York,East,2015-09-13,Standard Class,23.0,0.1,96.0,0.31,311.0
2015-09-07,CA-2015-100032,Arthur Wiediger,Home Office,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances,Eureka,New York City,New York,East,2015-09-13,Standard Class,16.0,0.1,407.0,0.27,1506.0
2015-09-06,CA-2015-100051,Greg Matthias,Consumer,Holmes Odor Grabber,Office Supplies,Appliances,Holmes,New York City,New York,East,2015-09-12,Standard Class,79.0,0.2,318.0,0.35,909.0
2015-07-08,CA-2015-100090,Ed Braxton,Corporate,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,Wilson Jones,San Francisco,California,West,2015-07-12,Standard Class,6.0,0.2,69.0,0.35,197.0
2015-07-08,CA-2015-100090,Ed Braxton,Corporate,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Hon,San Francisco,California,West,2015-07-12,Standard Class,3.0,0.2,-88.0,-0.18,502.0
2015-09-05,CA-2015-100136,John Lee,Consumer,Imation Clip USB flash drive - 8 GB,Technology,Accessories,Imation,New York City,New York,East,2015-09-11,Standard Class,130.0,0.3,1399.0,0.41,3413.0
2015-09-05,CA-2015-100136,John Lee,Consumer,OIC Binder Clips,Office Supplies,Fasteners,Other,New York City,New York,East,2015-09-11,Standard Class,94.0,0.1,64.0,0.21,305.0
2015-09-05,CA-2015-100136,John Lee,Consumer,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other,New York City,New York,East,2015-09-11,Standard Class,143.0,0.1,734.0,0.38,1931.0
2015-09-05,CA-2015-100136,John Lee,Consumer,Staples,Office Supplies,Fasteners,Other,New York City,New York,East,2015-09-11,Standard Class,324.0,0.2,114.0,0.22,518.0
2015-09-05,CA-2015-100136,John Lee,Consumer,Unpadded Memo Slips,Office Supplies,Paper,Other,New York City,New York,East,2015-09-11,Standard Class,216.0,0.1,264.0,0.34,778.0
2015-03-14,CA-2015-100293,Neil Französisch,Home Office,Xerox 1887,Office Supplies,Paper,Xerox,Jacksonville,Florida,South,2015-03-18,Standard Class,6.0,0.2,32.0,0.35,91.0
2015-01-28,CA-2015-100328,Jasper Cacioppo,Consumer,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Pressboard,New York City,New York,East,2015-02-03,Standard Class,1.0,0.2,1.0,0.34,4.0
2015-04-08,CA-2015-100363,Jim Mitchum,Corporate,Binder Clips by OIC,Office Supplies,Fasteners,OIC,Glendale,Arizona,West,2015-04-15,Standard Class,2.0,0.2,1.0,0.35,2.0
2015-04-08,CA-2015-100363,Jim Mitchum,Corporate,Things To Do Today Spiral Book,Office Supplies,Paper,Things To Do,Glendale,Arizona,West,2015-04-15,Standard Class,3.0,0.2,7.0,0.36,19.0
2015-05-25,CA-2015-100391,Barry Weirich,Consumer,Strathmore Photo Frame Cards,Office Supplies,Paper,Strathmore,New York City,New York,East,2015-05-29,Standard Class,2.0,0.0,7.0,0.46,15.0
